-119.98,-119.90,34.45,34.50,Santa Barbara
-119.45,-119.30,34.30,34.36,West Ventura
-119.30,-119.05,34.18,34.28,Central Ventura
-119.20,-119.05,34.40,34.48,Upper Ojai Valley
-119.00,-118.40,34.25,34.50,Northridge/East Ventura/Transverse Ranges
-118.45,-118.25,33.94,34.10,West Los Angeles Basin
-118.15,-117.80,33.88,34.05,East Los Angeles Basin
-118.25,-118.10,33.75,33.85,South Los Angeles Basin
-119.00,-118.68,34.25,34.50,East Ventura
-118.68,-118.40,34.25,34.50,Northridge
-119.00,-118.73,34.25,34.50,East Ventura
-118.73,-118.40,34.25,34.50,Northridge
